,,Missing,Overall
"patient_ecog_change, n (%)",1.0,,95 (4.8)
"patient_ecog_change, n (%)",2.0,,10 (0.5)
"patient_ecog_change, n (%)",3.0,,2 (0.1)
"patient_ecog_change, n (%)",None,,813 (40.7)
"esas_appetite_change, n (%)",-1.0,,69 (3.5)
"esas_appetite_change, n (%)",-2.0,,31 (1.6)
"esas_appetite_change, n (%)",-3.0,,19 (1.0)
"esas_appetite_change, n (%)",-4.0,,14 (0.7)
"esas_appetite_change, n (%)",-5.0,,8 (0.4)
"esas_appetite_change, n (%)",-6.0,,4 (0.2)
"esas_appetite_change, n (%)",-7.0,,2 (0.1)
"esas_appetite_change, n (%)",-8.0,,2 (0.1)
"esas_appetite_change, n (%)",0.0,,948 (47.4)
"esas_appetite_change, n (%)",1.0,,83 (4.2)
"esas_appetite_change, n (%)",2.0,,44 (2.2)
"esas_appetite_change, n (%)",3.0,,23 (1.2)
"esas_appetite_change, n (%)",4.0,,9 (0.5)
"esas_appetite_change, n (%)",5.0,,12 (0.6)
"esas_appetite_change, n (%)",6.0,,4 (0.2)
"esas_appetite_change, n (%)",7.0,,4 (0.2)
"esas_appetite_change, n (%)",8.0,,2 (0.1)
"esas_appetite_change, n (%)",9.0,,1 (0.1)
"esas_appetite_change, n (%)",None,,720 (36.0)
"esas_pain_change, n (%)",-1.0,,74 (3.7)
"esas_pain_change, n (%)",-2.0,,38 (1.9)
"esas_pain_change, n (%)",-3.0,,13 (0.7)
"esas_pain_change, n (%)",-4.0,,6 (0.3)
"esas_pain_change, n (%)",-5.0,,6 (0.3)
"esas_pain_change, n (%)",-6.0,,6 (0.3)
"esas_pain_change, n (%)",-7.0,,1 (0.1)
"esas_pain_change, n (%)",-8.0,,1 (0.1)
"esas_pain_change, n (%)",0.0,,966 (48.3)
"esas_pain_change, n (%)",1.0,,95 (4.8)
"esas_pain_change, n (%)",2.0,,37 (1.9)
"esas_pain_change, n (%)",3.0,,16 (0.8)
"esas_pain_change, n (%)",4.0,,13 (0.7)
"esas_pain_change, n (%)",5.0,,8 (0.4)
"esas_pain_change, n (%)",6.0,,4 (0.2)
"esas_pain_change, n (%)",7.0,,4 (0.2)
"esas_pain_change, n (%)",8.0,,1 (0.1)
"esas_pain_change, n (%)",None,,710 (35.5)
"age, n (%)",46,,8 (0.4)
"age, n (%)",47,,12 (0.6)
"age, n (%)",48,,1 (0.1)
"age, n (%)",49,,5 (0.3)
"age, n (%)",51,,4 (0.2)
"age, n (%)",52,,8 (0.4)
"age, n (%)",53,,38 (1.9)
"age, n (%)",54,,24 (1.2)
"age, n (%)",55,,17 (0.9)
"age, n (%)",56,,27 (1.4)
"age, n (%)",57,,42 (2.1)
"age, n (%)",58,,44 (2.2)
"age, n (%)",59,,102 (5.1)
"age, n (%)",60,,56 (2.8)
"age, n (%)",61,,74 (3.7)
"age, n (%)",62,,69 (3.5)
"age, n (%)",63,,80 (4.0)
"age, n (%)",64,,141 (7.1)
"age, n (%)",65,,89 (4.5)
"age, n (%)",66,,49 (2.5)
"age, n (%)",67,,102 (5.1)
"age, n (%)",68,,85 (4.3)
"age, n (%)",69,,109 (5.5)
"age, n (%)",70,,43 (2.2)
"age, n (%)",71,,86 (4.3)
"age, n (%)",72,,99 (5.0)
"age, n (%)",73,,98 (4.9)
"age, n (%)",74,,58 (2.9)
"age, n (%)",75,,70 (3.5)
"age, n (%)",76,,20 (1.0)
"age, n (%)",77,,67 (3.4)
"age, n (%)",78,,61 (3.1)
"age, n (%)",79,,36 (1.8)
"age, n (%)",80,,30 (1.5)
"age, n (%)",81,,23 (1.2)
"age, n (%)",82,,34 (1.7)
"age, n (%)",83,,39 (2.0)
"age, n (%)",84,,14 (0.7)
"age, n (%)",86,,26 (1.3)
"age, n (%)",87,,7 (0.4)
"age, n (%)",92,,2 (0.1)
"height, n (%)",131,,11 (0.6)
"height, n (%)",147,,9 (0.5)
"height, n (%)",148,,1 (0.1)
"height, n (%)",149,,13 (0.7)
"height, n (%)",150,,33 (1.7)
"height, n (%)",151,,6 (0.3)
"height, n (%)",152,,42 (2.1)
"height, n (%)",153,,12 (0.6)
"height, n (%)",154,,87 (4.4)
"height, n (%)",155,,19 (1.0)
"height, n (%)",156,,77 (3.9)
"height, n (%)",157,,28 (1.4)
"height, n (%)",158,,102 (5.1)
"height, n (%)",159,,60 (3.0)
"height, n (%)",160,,55 (2.8)
"height, n (%)",161,,45 (2.3)
"height, n (%)",162,,41 (2.1)
"height, n (%)",163,,32 (1.6)
"height, n (%)",164,,44 (2.2)
"height, n (%)",165,,73 (3.7)
"height, n (%)",166,,61 (3.1)
"height, n (%)",167,,23 (1.2)
"height, n (%)",168,,29 (1.5)
"height, n (%)",169,,26 (1.3)
"height, n (%)",170,,125 (6.3)
"height, n (%)",171,,39 (2.0)
"height, n (%)",172,,93 (4.7)
"height, n (%)",173,,127 (6.4)
"height, n (%)",174,,88 (4.4)
"height, n (%)",175,,121 (6.1)
"height, n (%)",176,,85 (4.3)
"height, n (%)",177,,102 (5.1)
"height, n (%)",178,,19 (1.0)
"height, n (%)",179,,33 (1.7)
"height, n (%)",181,,22 (1.1)
"height, n (%)",182,,40 (2.0)
"height, n (%)",183,,80 (4.0)
"height, n (%)",184,,34 (1.7)
"height, n (%)",185,,50 (2.5)
"height, n (%)",186,,6 (0.3)
"height, n (%)",191,,3 (0.2)
"height, n (%)",193,,2 (0.1)
"height, n (%)",195,,1 (0.1)
"esas_shortness_of_breath_change, n (%)",-1.0,,65 (3.3)
"esas_shortness_of_breath_change, n (%)",-2.0,,29 (1.5)
"esas_shortness_of_breath_change, n (%)",-3.0,,11 (0.6)
"esas_shortness_of_breath_change, n (%)",-4.0,,3 (0.2)
"esas_shortness_of_breath_change, n (%)",-5.0,,2 (0.1)
"esas_shortness_of_breath_change, n (%)",-6.0,,4 (0.2)
"esas_shortness_of_breath_change, n (%)",0.0,,1032 (51.6)
"esas_shortness_of_breath_change, n (%)",1.0,,81 (4.1)
"esas_shortness_of_breath_change, n (%)",2.0,,32 (1.6)
"esas_shortness_of_breath_change, n (%)",3.0,,15 (0.8)
"esas_shortness_of_breath_change, n (%)",4.0,,3 (0.2)
"esas_shortness_of_breath_change, n (%)",5.0,,8 (0.4)
"esas_shortness_of_breath_change, n (%)",6.0,,2 (0.1)
"esas_shortness_of_breath_change, n (%)",None,,712 (35.6)
"esas_tiredness, n (%)",0.0,,200 (10.0)
"esas_tiredness, n (%)",1.0,,230 (11.5)
"esas_tiredness, n (%)",10.0,,10 (0.5)
"esas_tiredness, n (%)",2.0,,234 (11.7)
"esas_tiredness, n (%)",3.0,,205 (10.3)
"esas_tiredness, n (%)",4.0,,169 (8.5)
"esas_tiredness, n (%)",5.0,,165 (8.3)
"esas_tiredness, n (%)",6.0,,131 (6.6)
"esas_tiredness, n (%)",7.0,,75 (3.8)
"esas_tiredness, n (%)",8.0,,45 (2.3)
"esas_tiredness, n (%)",9.0,,18 (0.9)
"esas_tiredness, n (%)",None,,517 (25.9)
"esas_anxiety_change, n (%)",-1.0,,89 (4.5)
"esas_anxiety_change, n (%)",-10.0,,1 (0.1)
"esas_anxiety_change, n (%)",-2.0,,30 (1.5)
"esas_anxiety_change, n (%)",-3.0,,18 (0.9)
"esas_anxiety_change, n (%)",-4.0,,6 (0.3)
"esas_anxiety_change, n (%)",-5.0,,8 (0.4)
"esas_anxiety_change, n (%)",-6.0,,1 (0.1)
"esas_anxiety_change, n (%)",-7.0,,2 (0.1)
"esas_anxiety_change, n (%)",-8.0,,3 (0.2)
"esas_anxiety_change, n (%)",0.0,,977 (48.9)
"esas_anxiety_change, n (%)",1.0,,78 (3.9)
"esas_anxiety_change, n (%)",10.0,,1 (0.1)
"esas_anxiety_change, n (%)",2.0,,32 (1.6)
"esas_anxiety_change, n (%)",3.0,,19 (1.0)
"esas_anxiety_change, n (%)",4.0,,7 (0.4)
"esas_anxiety_change, n (%)",5.0,,6 (0.3)
"esas_anxiety_change, n (%)",6.0,,1 (0.1)
"esas_anxiety_change, n (%)",7.0,,3 (0.2)
"esas_anxiety_change, n (%)",8.0,,2 (0.1)
"esas_anxiety_change, n (%)",None,,715 (35.8)
"target_CTAS_score, n (%)",1.0,,3 (0.2)
"target_CTAS_score, n (%)",2.0,,112 (5.6)
"target_CTAS_score, n (%)",3.0,,77 (3.9)
"target_CTAS_score, n (%)",4.0,,1 (0.1)
"target_CTAS_score, n (%)",None,,1806 (90.3)
"num_prior_ED_visits_within_5_years, n (%)",0,,1185 (59.3)
"num_prior_ED_visits_within_5_years, n (%)",1,,282 (14.1)
"num_prior_ED_visits_within_5_years, n (%)",10,,1 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",11,,1 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",12,,7 (0.4)
"num_prior_ED_visits_within_5_years, n (%)",18,,4 (0.2)
"num_prior_ED_visits_within_5_years, n (%)",19,,4 (0.2)
"num_prior_ED_visits_within_5_years, n (%)",2,,278 (13.9)
"num_prior_ED_visits_within_5_years, n (%)",20,,11 (0.6)
"num_prior_ED_visits_within_5_years, n (%)",3,,95 (4.8)
"num_prior_ED_visits_within_5_years, n (%)",4,,52 (2.6)
"num_prior_ED_visits_within_5_years, n (%)",5,,12 (0.6)
"num_prior_ED_visits_within_5_years, n (%)",6,,33 (1.7)
"num_prior_ED_visits_within_5_years, n (%)",7,,11 (0.6)
"num_prior_ED_visits_within_5_years, n (%)",8,,3 (0.2)
"num_prior_ED_visits_within_5_years, n (%)",9,,20 (1.0)
"esas_shortness_of_breath, n (%)",0.0,,813 (40.7)
"esas_shortness_of_breath, n (%)",1.0,,216 (10.8)
"esas_shortness_of_breath, n (%)",2.0,,154 (7.7)
"esas_shortness_of_breath, n (%)",3.0,,111 (5.6)
"esas_shortness_of_breath, n (%)",4.0,,54 (2.7)
"esas_shortness_of_breath, n (%)",5.0,,59 (3.0)
"esas_shortness_of_breath, n (%)",6.0,,51 (2.6)
"esas_shortness_of_breath, n (%)",7.0,,16 (0.8)
"esas_shortness_of_breath, n (%)",8.0,,11 (0.6)
"esas_shortness_of_breath, n (%)",9.0,,1 (0.1)
"esas_shortness_of_breath, n (%)",None,,513 (25.7)
"visit_month_cos, n (%)",-0.5,,350 (17.5)
"visit_month_cos, n (%)",-0.866025404,,325 (16.3)
"visit_month_cos, n (%)",-1.0,,161 (8.1)
"visit_month_cos, n (%)",-1.84e-16,,177 (8.9)
"visit_month_cos, n (%)",0.5,,324 (16.2)
"visit_month_cos, n (%)",0.866025404,,323 (16.2)
"visit_month_cos, n (%)",1.0,,172 (8.6)
"visit_month_cos, n (%)",6.12e-17,,167 (8.4)
"esas_nausea_change, n (%)",-1.0,,61 (3.1)
"esas_nausea_change, n (%)",-2.0,,28 (1.4)
"esas_nausea_change, n (%)",-3.0,,7 (0.4)
"esas_nausea_change, n (%)",-4.0,,4 (0.2)
"esas_nausea_change, n (%)",-5.0,,7 (0.4)
"esas_nausea_change, n (%)",-6.0,,1 (0.1)
"esas_nausea_change, n (%)",-7.0,,4 (0.2)
"esas_nausea_change, n (%)",-8.0,,1 (0.1)
"esas_nausea_change, n (%)",0.0,,1033 (51.7)
"esas_nausea_change, n (%)",1.0,,69 (3.5)
"esas_nausea_change, n (%)",2.0,,31 (1.6)
"esas_nausea_change, n (%)",3.0,,15 (0.8)
"esas_nausea_change, n (%)",4.0,,9 (0.5)
"esas_nausea_change, n (%)",5.0,,7 (0.4)
"esas_nausea_change, n (%)",6.0,,2 (0.1)
"esas_nausea_change, n (%)",7.0,,3 (0.2)
"esas_nausea_change, n (%)",8.0,,1 (0.1)
"esas_nausea_change, n (%)",9.0,,1 (0.1)
"esas_nausea_change, n (%)",None,,715 (35.8)
"esas_anxiety, n (%)",0.0,,498 (24.9)
"esas_anxiety, n (%)",1.0,,230 (11.5)
"esas_anxiety, n (%)",10.0,,8 (0.4)
"esas_anxiety, n (%)",2.0,,216 (10.8)
"esas_anxiety, n (%)",3.0,,150 (7.5)
"esas_anxiety, n (%)",4.0,,96 (4.8)
"esas_anxiety, n (%)",5.0,,125 (6.3)
"esas_anxiety, n (%)",6.0,,62 (3.1)
"esas_anxiety, n (%)",7.0,,42 (2.1)
"esas_anxiety, n (%)",8.0,,48 (2.4)
"esas_anxiety, n (%)",9.0,,7 (0.4)
"esas_anxiety, n (%)",None,,517 (25.9)
"visit_month_sin, n (%)",-0.5,,320 (16.0)
"visit_month_sin, n (%)",-0.866025404,,316 (15.8)
"visit_month_sin, n (%)",-1.0,,177 (8.9)
"visit_month_sin, n (%)",0.0,,172 (8.6)
"visit_month_sin, n (%)",0.5,,328 (16.4)
"visit_month_sin, n (%)",0.866025404,,358 (17.9)
"visit_month_sin, n (%)",1.0,,167 (8.4)
"visit_month_sin, n (%)",1.22e-16,,161 (8.1)
