,,Missing,Overall
"esas_depression, n (%)",10.0,,55 (0.4)
"esas_depression, n (%)",2.0,,1556 (10.0)
"esas_depression, n (%)",3.0,,1062 (6.9)
"esas_depression, n (%)",4.0,,687 (4.4)
"esas_depression, n (%)",5.0,,740 (4.8)
"esas_depression, n (%)",6.0,,383 (2.5)
"esas_depression, n (%)",7.0,,333 (2.2)
"esas_depression, n (%)",8.0,,182 (1.2)
"esas_depression, n (%)",9.0,,68 (0.4)
"esas_depression, n (%)",None,,3436 (22.2)
"num_prior_ED_visits_within_5_years, n (%)",0,,8183 (52.8)
"num_prior_ED_visits_within_5_years, n (%)",1,,2912 (18.8)
"num_prior_ED_visits_within_5_years, n (%)",10,,47 (0.3)
"num_prior_ED_visits_within_5_years, n (%)",11,,47 (0.3)
"num_prior_ED_visits_within_5_years, n (%)",12,,45 (0.3)
"num_prior_ED_visits_within_5_years, n (%)",13,,13 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",14,,14 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",15,,19 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",16,,4 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",17,,4 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",18,,19 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",19,,14 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",2,,1602 (10.3)
"num_prior_ED_visits_within_5_years, n (%)",20,,14 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",21,,3 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",22,,8 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",23,,24 (0.2)
"num_prior_ED_visits_within_5_years, n (%)",24,,6 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",25,,9 (0.1)
"num_prior_ED_visits_within_5_years, n (%)",26,,2 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",27,,4 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",28,,4 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",3,,813 (5.3)
"num_prior_ED_visits_within_5_years, n (%)",30,,1 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",38,,3 (0.0)
"num_prior_ED_visits_within_5_years, n (%)",4,,646 (4.2)
"num_prior_ED_visits_within_5_years, n (%)",5,,387 (2.5)
"num_prior_ED_visits_within_5_years, n (%)",6,,252 (1.6)
"num_prior_ED_visits_within_5_years, n (%)",7,,196 (1.3)
"num_prior_ED_visits_within_5_years, n (%)",8,,120 (0.8)
"num_prior_ED_visits_within_5_years, n (%)",9,,69 (0.4)
"esas_pain, n (%)",0.0,,4836 (31.2)
"esas_pain, n (%)",1.0,,1964 (12.7)
"esas_pain, n (%)",10.0,,51 (0.3)
"esas_pain, n (%)",2.0,,1478 (9.5)
"esas_pain, n (%)",3.0,,1240 (8.0)
"esas_pain, n (%)",4.0,,755 (4.9)
"esas_pain, n (%)",5.0,,647 (4.2)
"esas_pain, n (%)",6.0,,374 (2.4)
"esas_pain, n (%)",7.0,,389 (2.5)
"esas_pain, n (%)",8.0,,241 (1.6)
"esas_pain, n (%)",9.0,,95 (0.6)
"esas_pain, n (%)",None,,3414 (22.0)
"phosphate, n (%)",0.17,,1 (0.0)
"phosphate, n (%)",0.34,,2 (0.0)
"phosphate, n (%)",0.39,,1 (0.0)
"phosphate, n (%)",0.4,,1 (0.0)
"phosphate, n (%)",0.43,,1 (0.0)
"phosphate, n (%)",0.47,,2 (0.0)
"phosphate, n (%)",0.49,,2 (0.0)
"phosphate, n (%)",0.51,,2 (0.0)
"phosphate, n (%)",0.52,,4 (0.0)
"phosphate, n (%)",0.53,,2 (0.0)
"phosphate, n (%)",0.54,,4 (0.0)
"phosphate, n (%)",0.55,,3 (0.0)
"phosphate, n (%)",0.56,,3 (0.0)
"phosphate, n (%)",0.57,,7 (0.0)
"phosphate, n (%)",0.58,,1 (0.0)
"phosphate, n (%)",0.59,,5 (0.0)
"phosphate, n (%)",0.6,,5 (0.0)
"phosphate, n (%)",0.61,,4 (0.0)
"phosphate, n (%)",0.62,,6 (0.0)
"phosphate, n (%)",0.63,,8 (0.1)
"phosphate, n (%)",0.64,,7 (0.0)
"phosphate, n (%)",0.65,,10 (0.1)
"phosphate, n (%)",0.66,,8 (0.1)
"phosphate, n (%)",0.67,,7 (0.0)
"phosphate, n (%)",0.68,,18 (0.1)
"phosphate, n (%)",0.69,,10 (0.1)
"phosphate, n (%)",0.7,,12 (0.1)
"phosphate, n (%)",0.71,,17 (0.1)
"phosphate, n (%)",0.72,,28 (0.2)
"phosphate, n (%)",0.73,,16 (0.1)
"phosphate, n (%)",0.74,,14 (0.1)
"phosphate, n (%)",0.75,,14 (0.1)
"phosphate, n (%)",0.76,,34 (0.2)
"phosphate, n (%)",0.77,,34 (0.2)
"phosphate, n (%)",0.78,,42 (0.3)
"phosphate, n (%)",0.79,,48 (0.3)
"phosphate, n (%)",0.8,,41 (0.3)
"phosphate, n (%)",0.81,,42 (0.3)
"phosphate, n (%)",0.82,,37 (0.2)
"phosphate, n (%)",0.83,,55 (0.4)
"phosphate, n (%)",0.84,,44 (0.3)
"phosphate, n (%)",0.85,,54 (0.3)
"phosphate, n (%)",0.86,,63 (0.4)
"phosphate, n (%)",0.87,,69 (0.4)
"phosphate, n (%)",0.88,,56 (0.4)
"phosphate, n (%)",0.89,,66 (0.4)
"phosphate, n (%)",0.9,,71 (0.5)
"phosphate, n (%)",0.91,,86 (0.6)
"phosphate, n (%)",0.92,,78 (0.5)
"phosphate, n (%)",0.93,,79 (0.5)
"phosphate, n (%)",0.94,,101 (0.7)
"phosphate, n (%)",0.95,,98 (0.6)
"phosphate, n (%)",0.96,,122 (0.8)
"phosphate, n (%)",0.97,,101 (0.7)
"phosphate, n (%)",0.98,,102 (0.7)
"phosphate, n (%)",0.99,,94 (0.6)
"phosphate, n (%)",1.0,,121 (0.8)
"phosphate, n (%)",1.01,,118 (0.8)
"phosphate, n (%)",1.02,,111 (0.7)
"phosphate, n (%)",1.03,,119 (0.8)
"phosphate, n (%)",1.04,,140 (0.9)
"phosphate, n (%)",1.05,,128 (0.8)
"phosphate, n (%)",1.06,,117 (0.8)
"phosphate, n (%)",1.07,,154 (1.0)
"phosphate, n (%)",1.08,,123 (0.8)
"phosphate, n (%)",1.09,,127 (0.8)
"phosphate, n (%)",1.1,,133 (0.9)
"phosphate, n (%)",1.11,,140 (0.9)
"phosphate, n (%)",1.12,,124 (0.8)
"phosphate, n (%)",1.13,,127 (0.8)
"phosphate, n (%)",1.14,,121 (0.8)
"phosphate, n (%)",1.15,,130 (0.8)
"phosphate, n (%)",1.16,,109 (0.7)
"phosphate, n (%)",1.17,,115 (0.7)
"phosphate, n (%)",1.18,,125 (0.8)
"phosphate, n (%)",1.19,,99 (0.6)
"phosphate, n (%)",1.2,,130 (0.8)
"phosphate, n (%)",1.21,,108 (0.7)
"phosphate, n (%)",1.22,,117 (0.8)
"phosphate, n (%)",1.23,,78 (0.5)
"phosphate, n (%)",1.24,,86 (0.6)
"phosphate, n (%)",1.25,,86 (0.6)
"phosphate, n (%)",1.26,,86 (0.6)
"phosphate, n (%)",1.27,,83 (0.5)
"phosphate, n (%)",1.28,,80 (0.5)
"phosphate, n (%)",1.29,,90 (0.6)
"phosphate, n (%)",1.3,,74 (0.5)
"phosphate, n (%)",1.31,,71 (0.5)
"phosphate, n (%)",1.32,,68 (0.4)
"phosphate, n (%)",1.33,,63 (0.4)
"phosphate, n (%)",1.34,,45 (0.3)
"phosphate, n (%)",1.35,,68 (0.4)
"phosphate, n (%)",1.36,,46 (0.3)
"phosphate, n (%)",1.37,,40 (0.3)
"phosphate, n (%)",1.38,,35 (0.2)
"phosphate, n (%)",1.39,,29 (0.2)
"phosphate, n (%)",1.4,,35 (0.2)
"phosphate, n (%)",1.41,,31 (0.2)
"phosphate, n (%)",1.42,,27 (0.2)
"phosphate, n (%)",1.43,,24 (0.2)
"phosphate, n (%)",1.44,,18 (0.1)
"phosphate, n (%)",1.45,,16 (0.1)
"phosphate, n (%)",1.46,,18 (0.1)
"phosphate, n (%)",1.47,,11 (0.1)
"phosphate, n (%)",1.48,,9 (0.1)
"phosphate, n (%)",1.49,,16 (0.1)
"phosphate, n (%)",1.5,,9 (0.1)
"phosphate, n (%)",1.51,,15 (0.1)
"phosphate, n (%)",1.52,,9 (0.1)
"phosphate, n (%)",1.53,,10 (0.1)
"phosphate, n (%)",1.54,,8 (0.1)
"phosphate, n (%)",1.55,,6 (0.0)
"phosphate, n (%)",1.56,,4 (0.0)
"phosphate, n (%)",1.57,,7 (0.0)
"phosphate, n (%)",1.58,,6 (0.0)
"phosphate, n (%)",1.59,,3 (0.0)
"phosphate, n (%)",1.6,,4 (0.0)
"phosphate, n (%)",1.61,,2 (0.0)
"phosphate, n (%)",1.62,,3 (0.0)
"phosphate, n (%)",1.63,,4 (0.0)
"phosphate, n (%)",1.64,,6 (0.0)
"phosphate, n (%)",1.65,,1 (0.0)
"phosphate, n (%)",1.66,,2 (0.0)
"phosphate, n (%)",1.67,,2 (0.0)
"phosphate, n (%)",1.68,,1 (0.0)
"phosphate, n (%)",1.69,,1 (0.0)
"phosphate, n (%)",1.71,,1 (0.0)
"phosphate, n (%)",1.75,,2 (0.0)
"phosphate, n (%)",1.79,,1 (0.0)
"phosphate, n (%)",1.81,,3 (0.0)
"phosphate, n (%)",1.83,,1 (0.0)
"phosphate, n (%)",1.87,,1 (0.0)
"phosphate, n (%)",None,,9361 (60.5)
"monocyte, n (%)",0.02,,4 (0.0)
"monocyte, n (%)",0.03,,8 (0.1)
"monocyte, n (%)",0.04,,12 (0.1)
"monocyte, n (%)",0.05,,15 (0.1)
"monocyte, n (%)",0.06,,10 (0.1)
"monocyte, n (%)",0.07,,16 (0.1)
"monocyte, n (%)",0.08,,11 (0.1)
"monocyte, n (%)",0.09,,17 (0.1)
"monocyte, n (%)",0.1,,500 (3.2)
"monocyte, n (%)",0.11,,20 (0.1)
"monocyte, n (%)",0.12,,18 (0.1)
"monocyte, n (%)",0.13,,16 (0.1)
"monocyte, n (%)",0.14,,18 (0.1)
"monocyte, n (%)",0.15,,14 (0.1)
"monocyte, n (%)",0.16,,14 (0.1)
"monocyte, n (%)",0.17,,18 (0.1)
"monocyte, n (%)",0.18,,23 (0.1)
"monocyte, n (%)",0.19,,18 (0.1)
"monocyte, n (%)",0.2,,572 (3.7)
"monocyte, n (%)",0.21,,14 (0.1)
"monocyte, n (%)",0.22,,22 (0.1)
"monocyte, n (%)",0.23,,12 (0.1)
"monocyte, n (%)",0.24,,13 (0.1)
"monocyte, n (%)",0.25,,17 (0.1)
"monocyte, n (%)",0.26,,16 (0.1)
"monocyte, n (%)",0.27,,13 (0.1)
"monocyte, n (%)",0.28,,17 (0.1)
"monocyte, n (%)",0.29,,17 (0.1)
"monocyte, n (%)",0.3,,691 (4.5)
"monocyte, n (%)",0.31,,13 (0.1)
"monocyte, n (%)",0.32,,19 (0.1)
"monocyte, n (%)",0.33,,8 (0.1)
"monocyte, n (%)",0.34,,16 (0.1)
"monocyte, n (%)",0.35,,13 (0.1)
"monocyte, n (%)",0.36,,18 (0.1)
"monocyte, n (%)",0.37,,15 (0.1)
"monocyte, n (%)",0.38,,12 (0.1)
"monocyte, n (%)",0.39,,22 (0.1)
"monocyte, n (%)",0.4,,895 (5.8)
"monocyte, n (%)",0.41,,17 (0.1)
"monocyte, n (%)",0.42,,14 (0.1)
"monocyte, n (%)",0.43,,16 (0.1)
"monocyte, n (%)",0.44,,18 (0.1)
"monocyte, n (%)",0.45,,13 (0.1)
"monocyte, n (%)",0.46,,24 (0.2)
"monocyte, n (%)",0.47,,17 (0.1)
"monocyte, n (%)",0.48,,7 (0.0)
"monocyte, n (%)",0.49,,13 (0.1)
"monocyte, n (%)",0.5,,960 (6.2)
"monocyte, n (%)",0.51,,10 (0.1)
"monocyte, n (%)",0.52,,17 (0.1)
"monocyte, n (%)",0.53,,9 (0.1)
"monocyte, n (%)",0.54,,12 (0.1)
"monocyte, n (%)",0.55,,20 (0.1)
"monocyte, n (%)",0.56,,12 (0.1)
"monocyte, n (%)",0.57,,7 (0.0)
"monocyte, n (%)",0.58,,11 (0.1)
"monocyte, n (%)",0.59,,12 (0.1)
"monocyte, n (%)",0.6,,938 (6.1)
"monocyte, n (%)",0.61,,8 (0.1)
"monocyte, n (%)",0.62,,17 (0.1)
"monocyte, n (%)",0.63,,4 (0.0)
"monocyte, n (%)",0.64,,11 (0.1)
"monocyte, n (%)",0.65,,10 (0.1)
"monocyte, n (%)",0.66,,5 (0.0)
"monocyte, n (%)",0.67,,14 (0.1)
"monocyte, n (%)",0.68,,7 (0.0)
"monocyte, n (%)",0.69,,7 (0.0)
"monocyte, n (%)",0.7,,729 (4.7)
"monocyte, n (%)",0.71,,10 (0.1)
"monocyte, n (%)",0.72,,8 (0.1)
"monocyte, n (%)",0.73,,6 (0.0)
"monocyte, n (%)",0.74,,8 (0.1)
"monocyte, n (%)",0.75,,8 (0.1)
"monocyte, n (%)",0.76,,2 (0.0)
"monocyte, n (%)",0.77,,5 (0.0)
"monocyte, n (%)",0.78,,8 (0.1)
"monocyte, n (%)",0.79,,5 (0.0)
"monocyte, n (%)",0.8,,485 (3.1)
"monocyte, n (%)",0.81,,7 (0.0)
"monocyte, n (%)",0.82,,4 (0.0)
"monocyte, n (%)",0.83,,9 (0.1)
"monocyte, n (%)",0.84,,6 (0.0)
"monocyte, n (%)",0.86,,10 (0.1)
"monocyte, n (%)",0.87,,6 (0.0)
"monocyte, n (%)",0.88,,6 (0.0)
"monocyte, n (%)",0.89,,2 (0.0)
"monocyte, n (%)",0.9,,326 (2.1)
"monocyte, n (%)",0.91,,4 (0.0)
"monocyte, n (%)",0.92,,4 (0.0)
"monocyte, n (%)",0.93,,1 (0.0)
"monocyte, n (%)",0.94,,3 (0.0)
"monocyte, n (%)",0.95,,1 (0.0)
"monocyte, n (%)",0.96,,2 (0.0)
"monocyte, n (%)",0.97,,3 (0.0)
"monocyte, n (%)",0.98,,5 (0.0)
"monocyte, n (%)",0.99,,2 (0.0)
"monocyte, n (%)",1.0,,237 (1.5)
"monocyte, n (%)",1.02,,2 (0.0)
"monocyte, n (%)",1.03,,2 (0.0)
"monocyte, n (%)",1.04,,3 (0.0)
"monocyte, n (%)",1.05,,4 (0.0)
"monocyte, n (%)",1.06,,2 (0.0)
"monocyte, n (%)",1.07,,2 (0.0)
"monocyte, n (%)",1.08,,2 (0.0)
"monocyte, n (%)",1.09,,3 (0.0)
"monocyte, n (%)",1.1,,159 (1.0)
"monocyte, n (%)",1.11,,1 (0.0)
"monocyte, n (%)",1.12,,3 (0.0)
"monocyte, n (%)",1.13,,1 (0.0)
"monocyte, n (%)",1.14,,4 (0.0)
"monocyte, n (%)",1.16,,1 (0.0)
"monocyte, n (%)",1.17,,1 (0.0)
"monocyte, n (%)",1.19,,2 (0.0)
"monocyte, n (%)",1.2,,107 (0.7)
"monocyte, n (%)",1.21,,1 (0.0)
"monocyte, n (%)",1.23,,1 (0.0)
"monocyte, n (%)",1.24,,2 (0.0)
"monocyte, n (%)",1.25,,1 (0.0)
"monocyte, n (%)",1.27,,2 (0.0)
"monocyte, n (%)",1.28,,1 (0.0)
"monocyte, n (%)",1.29,,2 (0.0)
"monocyte, n (%)",1.3,,72 (0.5)
"monocyte, n (%)",1.33,,2 (0.0)
"monocyte, n (%)",1.35,,1 (0.0)
"monocyte, n (%)",1.36,,3 (0.0)
"monocyte, n (%)",1.37,,2 (0.0)
"monocyte, n (%)",1.38,,1 (0.0)
"monocyte, n (%)",1.39,,2 (0.0)
"monocyte, n (%)",1.4,,51 (0.3)
"monocyte, n (%)",1.43,,1 (0.0)
"monocyte, n (%)",1.48,,1 (0.0)
"monocyte, n (%)",1.5,,34 (0.2)
"monocyte, n (%)",1.52,,1 (0.0)
"monocyte, n (%)",1.54,,2 (0.0)
"monocyte, n (%)",1.55,,2 (0.0)
"monocyte, n (%)",1.56,,1 (0.0)
"monocyte, n (%)",1.57,,2 (0.0)
"monocyte, n (%)",1.6,,10 (0.1)
"monocyte, n (%)",1.63,,2 (0.0)
"monocyte, n (%)",1.64,,2 (0.0)
"monocyte, n (%)",1.66,,2 (0.0)
"monocyte, n (%)",1.67,,1 (0.0)
"monocyte, n (%)",1.69,,1 (0.0)
"monocyte, n (%)",1.7,,9 (0.1)
"monocyte, n (%)",1.72,,2 (0.0)
"monocyte, n (%)",1.73,,2 (0.0)
"monocyte, n (%)",1.75,,1 (0.0)
"monocyte, n (%)",1.76,,1 (0.0)
"monocyte, n (%)",1.77,,1 (0.0)
"monocyte, n (%)",1.79,,1 (0.0)
"monocyte, n (%)",1.8,,11 (0.1)
"monocyte, n (%)",1.83,,1 (0.0)
"monocyte, n (%)",1.9,,5 (0.0)
"monocyte, n (%)",1.91,,1 (0.0)
"monocyte, n (%)",1.93,,1 (0.0)
"monocyte, n (%)",2.0,,2 (0.0)
"monocyte, n (%)",2.02,,1 (0.0)
"monocyte, n (%)",2.04,,1 (0.0)
"monocyte, n (%)",2.1,,1 (0.0)
"monocyte, n (%)",2.16,,1 (0.0)
"monocyte, n (%)",2.2,,3 (0.0)
"monocyte, n (%)",2.26,,1 (0.0)
"monocyte, n (%)",2.3,,1 (0.0)
"monocyte, n (%)",2.4,,1 (0.0)
"monocyte, n (%)",2.5,,1 (0.0)
"monocyte, n (%)",2.56,,1 (0.0)
"monocyte, n (%)",2.65,,1 (0.0)
"monocyte, n (%)",2.69,,1 (0.0)
"monocyte, n (%)",2.7,,2 (0.0)
"monocyte, n (%)",2.84,,1 (0.0)
"monocyte, n (%)",3.08,,1 (0.0)
"monocyte, n (%)",3.12,,1 (0.0)
"monocyte, n (%)",3.2,,1 (0.0)
"monocyte, n (%)",3.25,,1 (0.0)
"monocyte, n (%)",3.49,,1 (0.0)
"monocyte, n (%)",3.58,,1 (0.0)
"monocyte, n (%)",None,,7589 (49.0)
"mean_platelet_volume, n (%)",10.0,,51 (0.3)
"mean_platelet_volume, n (%)",10.1,,41 (0.3)
"mean_platelet_volume, n (%)",10.2,,29 (0.2)
"mean_platelet_volume, n (%)",10.3,,39 (0.3)
"mean_platelet_volume, n (%)",10.4,,27 (0.2)
"mean_platelet_volume, n (%)",10.5,,21 (0.1)
"mean_platelet_volume, n (%)",10.6,,19 (0.1)
"mean_platelet_volume, n (%)",10.7,,7 (0.0)
"mean_platelet_volume, n (%)",10.8,,9 (0.1)
"mean_platelet_volume, n (%)",10.9,,6 (0.0)
"mean_platelet_volume, n (%)",11.0,,12 (0.1)
"mean_platelet_volume, n (%)",11.1,,2 (0.0)
"mean_platelet_volume, n (%)",11.2,,1 (0.0)
"mean_platelet_volume, n (%)",11.3,,1 (0.0)
"mean_platelet_volume, n (%)",11.4,,2 (0.0)
"mean_platelet_volume, n (%)",11.5,,2 (0.0)
"mean_platelet_volume, n (%)",11.6,,1 (0.0)
"mean_platelet_volume, n (%)",11.7,,2 (0.0)
"mean_platelet_volume, n (%)",11.9,,1 (0.0)
"mean_platelet_volume, n (%)",12.1,,1 (0.0)
"mean_platelet_volume, n (%)",13.1,,1 (0.0)
"mean_platelet_volume, n (%)",5.3,,1 (0.0)
"mean_platelet_volume, n (%)",5.4,,2 (0.0)
"mean_platelet_volume, n (%)",5.5,,1 (0.0)
"mean_platelet_volume, n (%)",5.6,,2 (0.0)
"mean_platelet_volume, n (%)",5.7,,7 (0.0)
"mean_platelet_volume, n (%)",5.8,,4 (0.0)
"mean_platelet_volume, n (%)",5.9,,11 (0.1)
"mean_platelet_volume, n (%)",6.0,,16 (0.1)
"mean_platelet_volume, n (%)",6.1,,24 (0.2)
"mean_platelet_volume, n (%)",6.2,,37 (0.2)
"mean_platelet_volume, n (%)",6.3,,55 (0.4)
"mean_platelet_volume, n (%)",6.4,,74 (0.5)
"mean_platelet_volume, n (%)",6.5,,82 (0.5)
"mean_platelet_volume, n (%)",6.6,,115 (0.7)
"mean_platelet_volume, n (%)",6.7,,131 (0.8)
"mean_platelet_volume, n (%)",6.8,,145 (0.9)
"mean_platelet_volume, n (%)",6.9,,160 (1.0)
"mean_platelet_volume, n (%)",7.0,,222 (1.4)
"mean_platelet_volume, n (%)",7.1,,267 (1.7)
"mean_platelet_volume, n (%)",7.2,,255 (1.6)
"mean_platelet_volume, n (%)",7.3,,258 (1.7)
"mean_platelet_volume, n (%)",7.4,,337 (2.2)
"mean_platelet_volume, n (%)",7.5,,343 (2.2)
"mean_platelet_volume, n (%)",7.6,,335 (2.2)
"mean_platelet_volume, n (%)",7.7,,355 (2.3)
"mean_platelet_volume, n (%)",7.8,,319 (2.1)
"mean_platelet_volume, n (%)",7.9,,310 (2.0)
"mean_platelet_volume, n (%)",8.0,,316 (2.0)
"mean_platelet_volume, n (%)",8.1,,350 (2.3)
"mean_platelet_volume, n (%)",8.2,,349 (2.3)
"mean_platelet_volume, n (%)",8.3,,317 (2.0)
"mean_platelet_volume, n (%)",8.4,,310 (2.0)
"mean_platelet_volume, n (%)",8.5,,295 (1.9)
"mean_platelet_volume, n (%)",8.6,,257 (1.7)
"mean_platelet_volume, n (%)",8.7,,208 (1.3)
"mean_platelet_volume, n (%)",8.8,,230 (1.5)
"mean_platelet_volume, n (%)",8.9,,184 (1.2)
"mean_platelet_volume, n (%)",9.0,,154 (1.0)
"mean_platelet_volume, n (%)",9.1,,135 (0.9)
"mean_platelet_volume, n (%)",9.2,,146 (0.9)
"mean_platelet_volume, n (%)",9.3,,132 (0.9)
"mean_platelet_volume, n (%)",9.4,,111 (0.7)
"mean_platelet_volume, n (%)",9.5,,85 (0.5)
"mean_platelet_volume, n (%)",9.6,,87 (0.6)
"mean_platelet_volume, n (%)",9.7,,59 (0.4)
"mean_platelet_volume, n (%)",9.8,,51 (0.3)
"mean_platelet_volume, n (%)",9.9,,49 (0.3)
"mean_platelet_volume, n (%)",None,,7516 (48.5)
"esas_well_being, n (%)",0.0,,2102 (13.6)
"esas_well_being, n (%)",1.0,,1845 (11.9)
"esas_well_being, n (%)",10.0,,66 (0.4)
"esas_well_being, n (%)",2.0,,1841 (11.9)
"esas_well_being, n (%)",3.0,,1702 (11.0)
"esas_well_being, n (%)",4.0,,1192 (7.7)
"esas_well_being, n (%)",5.0,,1544 (10.0)
"esas_well_being, n (%)",6.0,,701 (4.5)
"esas_well_being, n (%)",7.0,,529 (3.4)
"esas_well_being, n (%)",8.0,,329 (2.1)
"esas_well_being, n (%)",9.0,,110 (0.7)
"esas_well_being, n (%)",None,,3523 (22.8)
"esas_drowsiness, n (%)",0.0,,4521 (29.2)
"esas_drowsiness, n (%)",1.0,,1834 (11.8)
"esas_drowsiness, n (%)",10.0,,51 (0.3)
"esas_drowsiness, n (%)",2.0,,1564 (10.1)
"esas_drowsiness, n (%)",3.0,,1225 (7.9)
"esas_drowsiness, n (%)",4.0,,838 (5.4)
"esas_drowsiness, n (%)",5.0,,782 (5.1)
"esas_drowsiness, n (%)",6.0,,521 (3.4)
"esas_drowsiness, n (%)",7.0,,407 (2.6)
"esas_drowsiness, n (%)",8.0,,222 (1.4)
"esas_drowsiness, n (%)",9.0,,79 (0.5)
"esas_drowsiness, n (%)",None,,3440 (22.2)
"esas_nausea, n (%)",0.0,,6911 (44.6)
"esas_nausea, n (%)",1.0,,1735 (11.2)
"esas_nausea, n (%)",10.0,,26 (0.2)
"esas_nausea, n (%)",2.0,,1194 (7.7)
"esas_nausea, n (%)",3.0,,784 (5.1)
"esas_nausea, n (%)",4.0,,459 (3.0)
"esas_nausea, n (%)",5.0,,413 (2.7)
"esas_nausea, n (%)",6.0,,222 (1.4)
"esas_nausea, n (%)",7.0,,164 (1.1)
"esas_nausea, n (%)",8.0,,89 (0.6)
"esas_nausea, n (%)",9.0,,52 (0.3)
"esas_nausea, n (%)",None,,3435 (22.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",296.0,,1 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",297.0,,1 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",299.0,,3 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",301.0,,8 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",302.0,,6 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",303.0,,10 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",304.0,,5 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",305.0,,7 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",306.0,,13 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",307.0,,4 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",308.0,,7 (0.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",309.0,,12 (0.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",310.0,,38 (0.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",311.0,,59 (0.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",312.0,,53 (0.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",313.0,,77 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",314.0,,79 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",315.0,,82 (0.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",316.0,,101 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",317.0,,111 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",318.0,,135 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",319.0,,158 (1.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",320.0,,164 (1.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",321.0,,185 (1.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",322.0,,232 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",323.0,,236 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",324.0,,289 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",325.0,,269 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",326.0,,290 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",327.0,,300 (1.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",328.0,,336 (2.2)
"mean_corpuscular_hemoglobin_concentration, n (%)",329.0,,307 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",330.0,,316 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",331.0,,315 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",332.0,,305 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",333.0,,319 (2.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",334.0,,304 (2.0)
"mean_corpuscular_hemoglobin_concentration, n (%)",335.0,,321 (2.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",336.0,,268 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",337.0,,263 (1.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",338.0,,232 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",339.0,,231 (1.5)
"mean_corpuscular_hemoglobin_concentration, n (%)",340.0,,223 (1.4)
"mean_corpuscular_hemoglobin_concentration, n (%)",341.0,,208 (1.3)
"mean_corpuscular_hemoglobin_concentration, n (%)",342.0,,143 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",343.0,,163 (1.1)
"mean_corpuscular_hemoglobin_concentration, n (%)",344.0,,138 (0.9)
"mean_corpuscular_hemoglobin_concentration, n (%)",345.0,,107 (0.7)
"mean_corpuscular_hemoglobin_concentration, n (%)",346.0,,103 (0.7)
